name,group,Rank,Rating,Reviews,Min Installs,max_installs
Clash of Clans,Strategy,1,4.56,3134089,10000000,50000000
Candy Crush Saga,Casual,2,4.36,6085041,100000000,500000000
Farm Heroes Saga,Casual,3,4.34,2202519,50000000,100000000
Pet Rescue Saga,Casual,4,4.23,1074190,50000000,100000000
Hay Day,Family,5,4.42,2135814,10000000,50000000
Castle Clash,Strategy,6,4.54,1336469,10000000,50000000
Brave Frontier,Action,7,4.47,276869,1000000,5000000
Slotomania - FREE Slots,Casino,8,4.37,462968,10000000,50000000
Jackpot Party Casino - Slots,Casino,9,4.17,69239,1000000,5000000
Pandorainternet radio,Music & Audio,10,4.46,1447619,100000000,500000000
BINGO Blitz - FREE Bingo+Slots,Casino,11,4.43,143437,5000000,10000000
Knights & Dragons,Action,12,4.54,200398,5000000,10000000
Family Guy The Quest for Stuff,Adventure,13,4.07,223997,5000000,10000000
FarmVille 2: Country Escape,Family,14,4.29,268570,1000000,5000000
Dragon City,Simulation,15,4.42,843332,10000000,50000000
The Simpsons: Tapped Out,Casual,16,4.37,302288,5000000,10000000
The Hobbit: Kingdoms,Strategy,17,4.06,120410,5000000,10000000
DoubleDown Casino - FREE Slots,Casino,18,4.11,95956,10000000,50000000
Big Fish Casino,Casino,19,4.28,57560,5000000,10000000
MARVEL War of Heroes,Arcade,20,3.75,47733,10000000,50000000
Dragons of Atlantis: Heirs,Strategy,21,4.27,116709,1000000,5000000
Empire: Four Kingdoms,Strategy,22,4.02,206620,10000000,50000000
myVEGAS Slots Free Casino,Casino,23,4.5,111346,1000000,5000000
Bingo Bash - Free Bingo Casino,Casino,24,4.24,259352,10000000,50000000
GSN Casino FREE Slots & Bingo,Casino,25,4.35,119064,5000000,10000000
Slots - House of Fun,Casino,26,4.2,56366,1000000,5000000
Slot City - FREE Tournaments,Casino,27,4.49,323848,10000000,50000000
Age of Warring Empire,Role Playing,28,4.39,287634,10000000,50000000
Zynga PokerTexas Holdem,Casino,29,4.35,502819,10000000,50000000
Blood Brothers (RPG),Action,30,4.52,245231,10000000,50000000
Puzzle & Dragons,Puzzle,31,4.34,31239,1000000,5000000
Papa Pear Saga,Casual,32,4.05,507014,10000000,50000000
CSR Classics,Racing,33,4.45,178819,1000000,5000000
Cookie Jam,Puzzle,34,4.28,40350,1000000,5000000
DEER HUNTER 2014,Action,35,4.48,2190020,10000000,50000000
Star Wars Force Collection,Strategy,36,3.86,16387,500000,1000000
Minecraft - Pocket Edition,Arcade,37,4.52,381125,1000000,5000000
Marvel Puzzle Quest Dark Reign,Puzzle,38,4.33,65048,1000000,5000000
Jackpot Slots - Slot Machines,Casino,39,4.4,177656,10000000,50000000
Dark Summoner,Role Playing,40,4.35,44691,1000000,5000000
The Sims FreePlay,Simulation,41,4.33,321011,5000000,10000000
Rage of Bahamut,Arcade,42,3.77,51226,5000000,10000000
Caesars Slots,Casino,43,4.26,46318,1000000,5000000
Clash of Lords 2,Strategy,44,4.6,185734,1000000,5000000
Live Holdem Poker Pro,Card,45,4.66,1023842,10000000,50000000
Crime City (Action RPG),Action,46,4.31,156927,10000000,50000000
Megapolis,Strategy,47,4.23,417276,10000000,50000000
Bejeweled Blitz,Puzzle,48,4.28,70431,5000000,10000000
